source,method,metric,fit_ok,a,b,c,combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,title
generated,LOGIS,auc,True,-0.001490962288929935,11.036056223719891,-1.0822498624495824,fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | TC | offaug_AE_head_2 | CVAE1-100
generated,SVM,f1_score,True,-0.053437744563765606,2.1924718598020165,-0.47460248967398183,fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | TC | offaug_AE_head_2 | CVAE1-100
generated,SVM,accuracy,True,-0.059629041312370214,2.002998466827204,-0.45153540005707676,fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | TC | offaug_AE_head_2 | CVAE1-100
generated,SVM,auc,True,-0.008582074412264514,5.417742321374655,-0.871496194684824,fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | TC | offaug_AE_head_2 | CVAE1-100
generated,KNN,f1_score,True,-0.2622946996304786,1.5376297339596237,-0.23770944205640263,fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | TC | offaug_AE_head_2 | CVAE1-100
generated,KNN,accuracy,True,-0.48953332745825945,1.4458438612971463,-0.14714066849280616,fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | TC | offaug_AE_head_2 | CVAE1-100
generated,KNN,auc,True,-0.06396482205356936,2.401345412329915,-0.5177336991275577,fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | TC | offaug_AE_head_2 | CVAE1-100
generated,RF,f1_score,True,0.07124163825391645,3.5844025488749733,-0.7568649148813492,fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | TC | offaug_AE_head_2 | CVAE1-100
generated,RF,accuracy,True,0.06842710649692506,2.9695366054876535,-0.7137317644803768,fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | TC | offaug_AE_head_2 | CVAE1-100
generated,RF,auc,True,0.017606434363609636,7.665710240309562,-0.9801923387614061,fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | TC | offaug_AE_head_2 | CVAE1-100
generated,XGB,f1_score,True,0.07756579933659655,2.959416894069486,-0.6859292557512034,fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | TC | offaug_AE_head_2 | CVAE1-100
generated,XGB,accuracy,True,0.07629342567998096,2.7818430440624997,-0.6718709145151617,fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | TC | offaug_AE_head_2 | CVAE1-100
generated,XGB,auc,True,0.022889411422579366,6.271264432799098,-0.8825170509555351,fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,COAD | TC | offaug_AE_head_2 | CVAE1-100
