source,method,metric,fit_ok,a,b,c,combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,title
generated,LOGIS,accuracy,True,-0.2166260640332779,0.9974804183260861,-0.21823452389903936,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100
generated,LOGIS,auc,True,-0.03314145949662696,2.2173811643102375,-0.6317213781777381,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100
generated,SVM,f1_score,True,-0.9043420142046771,1.5596588314528168,-0.07805578232762049,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100
generated,SVM,accuracy,True,-1.1136496349972176,1.7380016013727826,-0.06375313656714304,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100
generated,SVM,auc,True,-0.02232755210065943,7.12198212397889,-0.8534404118055078,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100
generated,KNN,f1_score,True,-0.2935775900097768,1.3799524453200374,-0.21053265924668138,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100
generated,KNN,accuracy,True,-0.5286293930920435,1.3760559101414083,-0.13121370453205572,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100
generated,KNN,auc,True,-0.08589321550934217,1.8041394525789225,-0.4405695613346517,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100
generated,RF,f1_score,True,-0.48570470085402095,1.1147263902704228,-0.09514336349722337,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100
generated,RF,accuracy,True,-0.9846451043151738,1.5494772672591945,-0.052822791713418936,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100
generated,RF,auc,True,-0.09365202480812493,1.1004942797754091,-0.32269844397528136,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100
generated,XGB,f1_score,True,-0.8842935807540757,1.6095976664163107,-0.0718086974680377,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100
generated,XGB,accuracy,True,-1.1965260035252478,1.8868483988847953,-0.054825497920650404,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100
generated,XGB,auc,True,-0.12053743236548105,1.3921104982196484,-0.3209705610377447,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100
