source,method,metric,kind,n,value,observed_std,ci_low,ci_high,n_draws,combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,title
real,LOGIS,f1_score,fitted,21.07070707070707,0.4824600457429824,,0.47631249098929623,0.48860760049666857,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,21.606060606060606,0.4842231742575791,,0.47823030153835305,0.49021604697680515,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,22.141414141414142,0.48594312568363307,,0.480094416735656,0.49179183463161014,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,22.67676767676768,0.48762196381335343,,0.481910240793571,0.4933336868331359,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,23.21212121212121,0.4892616079283414,,0.48368340616626077,0.494839809690422,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,23.747474747474747,0.4908638459838244,,0.485412236135743,0.4963154558319057,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,24.282828282828284,0.4924303463228341,,0.48709815054828715,0.4977625420973811,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,24.81818181818182,0.49396266811271516,,0.48874654598787237,0.49917879023755796,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,25.353535353535353,0.495462270667673,,0.4903551686014418,0.5005693727339042,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
real,LOGIS,f1_score,fitted,25.88888888888889,0.4969305217970543,,0.4919288508684837,0.501932192725625,,fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,SKCM | raw | offaug_AE_head_2 | CVAE1-200
