source,method,metric,fit_ok,a,b,c,combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,title
real,LOGIS,f1_score,True,0.4078316504560403,6.427516376061429e+52,-41.69754343073401,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
real,RF,auc,True,-83.81758317892437,84.42286603255728,-0.0006058144733721748,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
real,XGB,f1_score,True,-44.458105705253324,45.04811012324856,-0.0006402257392781619,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
real,XGB,accuracy,True,-34.0132533453116,34.5581257773774,-0.0005688165550091473,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
real,XGB,auc,True,-50.65892488442812,51.28011597930711,-0.0007621719116909967,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
generated,LOGIS,f1_score,True,0.02114200015206029,2.7887650867854683,-0.8927698187526939,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
generated,LOGIS,accuracy,True,0.02105497167087638,2.683468964153355,-0.8856046473774564,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
generated,LOGIS,auc,True,0.0008072689935270289,5.421231061630138,-1.15724167498851,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
generated,SVM,f1_score,True,-0.0368885576093471,1.0201754884668424,-0.3883703202013932,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
generated,SVM,accuracy,True,-0.040965268425860124,0.9531526249176195,-0.3704045457679374,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
generated,SVM,auc,True,0.0014997308556040326,19.659680013255063,-1.2199191264292828,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
generated,KNN,f1_score,True,-0.04520708734711939,0.6696006370664114,-0.20135380800164454,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
generated,KNN,accuracy,True,-0.054486960260872436,0.6435065657274028,-0.187680316838574,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
generated,KNN,auc,True,0.0007885268785078497,1.0499404870488087,-0.41246198168115733,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
generated,RF,f1_score,True,-0.007878634873244214,1.0542820019971544,-0.4021014936431253,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
generated,RF,accuracy,True,-0.010819448644416673,0.9998831550592958,-0.38831632565933955,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
generated,RF,auc,True,-0.001820184966052228,1.3385758130802965,-0.6147058495254871,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
generated,XGB,f1_score,True,0.02913127763708904,1.552097386032745,-0.5654840039040008,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
generated,XGB,accuracy,True,0.026371823759733685,1.3673889699158197,-0.5356979987383932,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
generated,XGB,auc,True,0.010365087840721045,5.77214421203721,-0.9873183750217456,fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,SKCM | DESeq | offaug_none | CVAE1-100
