combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,status,real_status,title,seconds
fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,ok,ok,SKCM | raw | offaug_AE_head_2 | CVAE1-100,768.5
fivesubtypes_rna_cvae:SKCM:raw:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,ok,ok,SKCM | raw | offaug_AE_head_2 | CVAE1-200,995.1
fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-50,offaug_none,1,miRNA,CVAE,ok,ok,SKCM | TC | offaug_none | CVAE1-50,1312.7
fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-100,offaug_none,1,miRNA,CVAE,ok,ok,SKCM | TC | offaug_none | CVAE1-100,1234.6
fivesubtypes_rna_cvae:SKCM:TC:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-200,offaug_none,1,miRNA,CVAE,ok,ok,SKCM | TC | offaug_none | CVAE1-200,733.2
fivesubtypes_rna_cvae:SKCM:TC:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,ok,ok,SKCM | TC | offaug_AE_head_2 | CVAE1-50,832.1
fivesubtypes_rna_cvae:SKCM:TC:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,ok,ok,SKCM | TC | offaug_AE_head_2 | CVAE1-100,714.3
fivesubtypes_rna_cvae:SKCM:TC:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,TC,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,ok,ok,SKCM | TC | offaug_AE_head_2 | CVAE1-200,705.3
fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,ok,ok,SKCM | DESeq | offaug_none | CVAE1-50,969.9
fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,ok,ok,SKCM | DESeq | offaug_none | CVAE1-100,760.2
fivesubtypes_rna_cvae:SKCM:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,ok,ok,SKCM | DESeq | offaug_none | CVAE1-200,556.7
fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,ok,ok,SKCM | DESeq | offaug_AE_head_2 | CVAE1-50,749.0
fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,ok,ok,SKCM | DESeq | offaug_AE_head_2 | CVAE1-100,721.1
fivesubtypes_rna_cvae:SKCM:DESeq:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,DESeq,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,ok,ok,SKCM | DESeq | offaug_AE_head_2 | CVAE1-200,721.8
