combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,status,title,html_relpath,png_relpath,points_relpath,seconds
fivesubtypes_rna_cvae:COAD:TC:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,TC,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,ok,COAD | TC | offaug_AE_head_2 | CVAE1-200,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_AE_head_2/CVAE1-200/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_AE_head_2/CVAE1-200/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/TC/offaug_AE_head_2/CVAE1-200/points.csv,471.3
fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_none,1,miRNA,CVAE,ok,COAD | DESeq | offaug_none | CVAE1-50,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_none/CVAE1-50/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_none/CVAE1-50/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_none/CVAE1-50/points.csv,795.6
fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-100,offaug_none,1,miRNA,CVAE,ok,COAD | DESeq | offaug_none | CVAE1-100,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_none/CVAE1-100/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_none/CVAE1-100/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_none/CVAE1-100/points.csv,418.9
fivesubtypes_rna_cvae:COAD:DESeq:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-200,offaug_none,1,miRNA,CVAE,ok,COAD | DESeq | offaug_none | CVAE1-200,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_none/CVAE1-200/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_none/CVAE1-200/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_none/CVAE1-200/points.csv,316.7
fivesubtypes_rna_cvae:COAD:DESeq:offaug_AE_head_2:CVAE1-50:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-50,offaug_AE_head_2,1,miRNA,CVAE,ok,COAD | DESeq | offaug_AE_head_2 | CVAE1-50,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_AE_head_2/CVAE1-50/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_AE_head_2/CVAE1-50/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_AE_head_2/CVAE1-50/points.csv,2666.6
fivesubtypes_rna_cvae:COAD:DESeq:offaug_AE_head_2:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-100,offaug_AE_head_2,1,miRNA,CVAE,ok,COAD | DESeq | offaug_AE_head_2 | CVAE1-100,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_AE_head_2/CVAE1-100/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_AE_head_2/CVAE1-100/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_AE_head_2/CVAE1-100/points.csv,2129.6
fivesubtypes_rna_cvae:COAD:DESeq:offaug_AE_head_2:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,DESeq,CVAE1-200,offaug_AE_head_2,1,miRNA,CVAE,ok,COAD | DESeq | offaug_AE_head_2 | CVAE1-200,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_AE_head_2/CVAE1-200/learning_curve.html,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_AE_head_2/CVAE1-200/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/COAD/DESeq/offaug_AE_head_2/CVAE1-200/points.csv,464.5
fivesubtypes_rna_cvae:SKCM:raw:offaug_none:CVAE1-50:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-50,offaug_none,1,miRNA,CVAE,ok,SKCM | raw | offaug_none | CVAE1-50,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_none/CVAE1-50/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_none/CVAE1-50/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_none/CVAE1-50/points.csv,889.3
fivesubtypes_rna_cvae:SKCM:raw:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-100,offaug_none,1,miRNA,CVAE,ok,SKCM | raw | offaug_none | CVAE1-100,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_none/CVAE1-100/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_none/CVAE1-100/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_none/CVAE1-100/points.csv,702.3
fivesubtypes_rna_cvae:SKCM:raw:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,SKCM,SKCM_5-2_filtered,raw,CVAE1-200,offaug_none,1,miRNA,CVAE,ok,SKCM | raw | offaug_none | CVAE1-200,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_none/CVAE1-200/learning_curve.html,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_none/CVAE1-200/learning_curve_f1_score.png,cohorts/fivesubtypes_rna_cvae/SKCM/raw/offaug_none/CVAE1-200/points.csv,712.0
